usuarios;grupo;senha
maria.silva;GPO-AWS-DataBase;!Senha12
joao.santos;GPO-AWS-DataBase;!Senha12
ana.oliveira;GPO-AWS-DataBase;!Senha12
pedro.souza;GPO-AWS-DataBase;!Senha12
juliana.rodrigues;GPO-AWS-DataBase;!Senha12
lucas.almeida;GPO-AWS-Linux;!Senha12
carla.pereira;GPO-AWS-Linux;!Senha12
marcos.fernandes;GPO-AWS-Linux;!Senha12
camila.gomes;GPO-AWS-Linux;!Senha12
felipe.martins;GPO-AWS-Linux;!Senha12
isabela.carvalho;GPO-AWS-Network;!Senha12
thiago.ribeiro;GPO-AWS-Network;!Senha12
bruna.nascimento;GPO-AWS-Network;!Senha12
rafael.mendes;GPO-AWS-Network;!Senha12
amanda.costa;GPO-AWS-Network;!Senha12
guilherme.mendes;GPO-AWS-Developer;!Senha12
anne.costa;GPO-AWS-Developer;!Senha12
alice.souza;GPO-AWS-Developer;!Senha12
mario.marcelino;GPO-AWS-Developer;!Senha12
jose.reis;GPO-AWS-Developer;!Senha12
